,ID,Generation,Region,Name,Type,Pokémon.Role,Legendary,Sex,Height,Weight,Health,Attack,Sp.Attack,Defense,Sp.Defense,Speed,Total,Abilities,Height.ft,Weight.lbs,Weight.Class,Height.Class
1,1,1,Kanto,Bulbasaur,Grass,"Buffer, Support",No,"Male, Female",0.7 m (2′04″),6.9 kg (15.2 lbs),45,49,65,49,65,45,318,"Overgrow, Chlorophyll",2.04,15.2,Class 1,Class 2
2,1,1,Kanto,Bulbasaur,Poison,"Buffer, Support",No,"Male, Female",0.7 m (2′04″),6.9 kg (15.2 lbs),45,49,65,49,65,45,318,"Overgrow, Chlorophyll",2.04,15.2,Class 1,Class 2
3,2,1,Kanto,Ivysaur,Grass,"Buffer, Debuffer, Support",No,"Male, Female",1.0 m (3′03″),13.0 kg (28.7 lbs),60,62,80,63,80,60,405,"Overgrow, Chlorophyll",3.03,28.7,Class 2,Class 2
4,2,1,Kanto,Ivysaur,Poison,"Buffer, Debuffer, Support",No,"Male, Female",1.0 m (3′03″),13.0 kg (28.7 lbs),60,62,80,63,80,60,405,"Overgrow, Chlorophyll",3.03,28.7,Class 2,Class 2
5,3,1,Kanto,Venusaur,Grass,"Debuffer, Healer",No,"Male, Female",2.0 m (6′07″),100.0 kg (220.5 lbs),80,82,100,83,100,80,525,"Overgrow, Chlorophyll",6.07,220.5,Class 4,Class 4
6,3,1,Kanto,Venusaur,Poison,"Debuffer, Healer",No,"Male, Female",2.0 m (6′07″),100.0 kg (220.5 lbs),80,82,100,83,100,80,525,"Overgrow, Chlorophyll",6.07,220.5,Class 4,Class 4
7,3,6,Kalos,"Venusaur
Mega Venusaur",Grass,"Debuffer, Healer, Tank",No,"Male, Female",2.0 m (6′07″),100.0 kg (220.5 lbs),80,100,122,123,120,80,625,"Overgrow, Chlorophyll",6.07,220.5,Class 4,Class 4
8,3,6,Kalos,"Venusaur
Mega Venusaur",Poison,"Debuffer, Healer, Tank",No,"Male, Female",2.0 m (6′07″),100.0 kg (220.5 lbs),80,100,122,123,120,80,625,"Overgrow, Chlorophyll",6.07,220.5,Class 4,Class 4
9,4,1,Kanto,Charmander,Fire,"DPS Melee, Scout",No,"Male, Female",0.6 m (2′00″),8.5 kg (18.7 lbs),39,52,60,43,50,65,309,"Blaze, Solar Power",2,18.7,Class 1,Class 1
10,5,1,Kanto,Charmeleon,Fire,DPS Melee,No,"Male, Female",1.1 m (3′07″),19.0 kg (41.9 lbs),58,64,80,58,65,80,405,"Blaze, Solar Power",3.07,41.9,Class 2,Class 3
11,6,1,Kanto,Charizard,Fire,DPS Ranged,No,"Male, Female",1.7 m (5′07″),90.5 kg (199.5 lbs),78,84,109,78,85,100,534,"Blaze, Solar Power",5.07,199.5,Class 4,Class 4
12,6,1,Kanto,Charizard,Flying,DPS Ranged,No,"Male, Female",1.7 m (5′07″),90.5 kg (199.5 lbs),78,84,109,78,85,100,534,"Blaze, Solar Power",5.07,199.5,Class 4,Class 4
13,6,6,Kalos,"Charizard
Mega Charizard X",Fire,"DPS Melee, Tank",No,"Male, Female",1.7 m (5′07″),90.5 kg (199.5 lbs),78,130,130,111,85,100,634,"Blaze, Solar Power",5.07,199.5,Class 4,Class 4
14,6,6,Kalos,"Charizard
Mega Charizard X",Dragon,"DPS Melee, Tank",No,"Male, Female",1.7 m (5′07″),90.5 kg (199.5 lbs),78,130,130,111,85,100,634,"Blaze, Solar Power",5.07,199.5,Class 4,Class 4
15,6,6,Kalos,"Charizard
Mega Charizard Y",Fire,"DPS Ranged, Mage",No,"Male, Female",1.7 m (5′07″),90.5 kg (199.5 lbs),78,104,159,78,115,100,634,"Blaze, Solar Power",5.07,199.5,Class 4,Class 4
16,6,6,Kalos,"Charizard
Mega Charizard Y",Flying,"DPS Ranged, Mage",No,"Male, Female",1.7 m (5′07″),90.5 kg (199.5 lbs),78,104,159,78,115,100,634,"Blaze, Solar Power",5.07,199.5,Class 4,Class 4
17,7,1,Kanto,Squirtle,Water,"Tank, Support",No,"Male, Female",0.5 m (1′08″),9.0 kg (19.8 lbs),44,48,50,65,64,43,314,"Torrent, Rain Dish",1.08,19.8,Class 2,Class 1
18,8,1,Kanto,Wartortle,Water,Tank,No,"Male, Female",1.0 m (3′03″),22.5 kg (49.6 lbs),59,63,65,80,80,58,405,"Torrent, Rain Dish",3.03,49.6,Class 2,Class 2
19,9,1,Kanto,Blastoise,Water,"Tank, DPS Ranged, Crowd Controller",No,"Male, Female",1.6 m (5′03″),85.5 kg (188.5 lbs),79,83,85,100,105,78,530,"Torrent, Rain Dish",5.03,188.5,Class 4,Class 4
20,9,6,Kalos,"Blastoise
Mega Blastoise",Water,"Tank, DPS Ranged, Crowd Controller",No,"Male, Female",1.6 m (5′03″),85.5 kg (188.5 lbs),79,103,135,120,115,78,630,"Torrent, Rain Dish",5.03,188.5,Class 4,Class 4
21,10,1,Kanto,Caterpie,Bug,Scout,No,"Male, Female",0.3 m (1′00″),2.9 kg (6.4 lbs),45,30,20,35,20,45,195,"Shield Dust, Run Away",1,6.4,Class 1,Class 1
22,11,1,Kanto,Metapod,Bug,"Tank, Buffer",No,"Male, Female",0.7 m (2′04″),9.9 kg (21.8 lbs),50,20,25,55,25,30,205,Shed Skin,2.04,21.8,Class 2,Class 2
23,12,1,Kanto,Butterfree,Bug,"Crowd Controller, Debuffer, Support",No,"Male, Female",1.1 m (3′07″),32.0 kg (70.5 lbs),60,45,90,50,80,70,395,"Compound Eyes, Tinted Lens",3.07,70.5,Class 3,Class 3
24,12,1,Kanto,Butterfree,Flying,"Crowd Controller, Debuffer, Support",No,"Male, Female",1.1 m (3′07″),32.0 kg (70.5 lbs),60,45,90,50,80,70,395,"Compound Eyes, Tinted Lens",3.07,70.5,Class 3,Class 3
25,13,1,Kanto,Weedle,Bug,Scout,No,"Male, Female",0.3 m (1′00″),3.2 kg (7.1 lbs),40,35,20,30,20,50,195,"Shield Dust, Run Away",1,7.1,Class 1,Class 1
26,13,1,Kanto,Weedle,Poison,Scout,No,"Male, Female",0.3 m (1′00″),3.2 kg (7.1 lbs),40,35,20,30,20,50,195,"Shield Dust, Run Away",1,7.1,Class 1,Class 1
27,14,1,Kanto,Kakuna,Bug,Buffer,No,"Male, Female",0.6 m (2′00″),10.0 kg (22.0 lbs),45,25,25,50,25,35,205,Shed Skin,2,22,Class 2,Class 1
28,14,1,Kanto,Kakuna,Poison,Buffer,No,"Male, Female",0.6 m (2′00″),10.0 kg (22.0 lbs),45,25,25,50,25,35,205,Shed Skin,2,22,Class 2,Class 1
29,15,1,Kanto,Beedrill,Bug,"DPS Melee, Crowd Controller",No,"Male, Female",1.0 m (3′03″),29.5 kg (65.0 lbs),65,90,45,40,80,75,395,"Swarm, Sniper",3.03,65,Class 2,Class 2
30,15,1,Kanto,Beedrill,Poison,"DPS Melee, Crowd Controller",No,"Male, Female",1.0 m (3′03″),29.5 kg (65.0 lbs),65,90,45,40,80,75,395,"Swarm, Sniper",3.03,65,Class 2,Class 2
31,15,6,Kalos,"Beedrill
Mega Beedrill",Bug,DPS Melee,No,"Male, Female",1.0 m (3′03″),29.5 kg (65.0 lbs),65,150,15,40,80,145,495,"Swarm, Sniper",3.03,65,Class 2,Class 2
32,15,6,Kalos,"Beedrill
Mega Beedrill",Poison,DPS Melee,No,"Male, Female",1.0 m (3′03″),29.5 kg (65.0 lbs),65,150,15,40,80,145,495,"Swarm, Sniper",3.03,65,Class 2,Class 2
33,16,1,Kanto,Pidgey,Normal,Scout,No,"Male, Female",0.3 m (1′00″),1.8 kg (4.0 lbs),40,45,35,40,35,56,251,"Keen Eye, Tangled Feet, Big Pecks",1,4,Class 1,Class 1
34,16,1,Kanto,Pidgey,Flying,Scout,No,"Male, Female",0.3 m (1′00″),1.8 kg (4.0 lbs),40,45,35,40,35,56,251,"Keen Eye, Tangled Feet, Big Pecks",1,4,Class 1,Class 1
35,17,1,Kanto,Pidgeotto,Normal,"Scout, DPS Ranged",No,"Male, Female",1.1 m (3′07″),30.0 kg (66.1 lbs),63,60,50,55,50,71,349,"Keen Eye, Tangled Feet, Big Pecks",3.07,66.1,Class 2,Class 3
36,17,1,Kanto,Pidgeotto,Flying,"Scout, DPS Ranged",No,"Male, Female",1.1 m (3′07″),30.0 kg (66.1 lbs),63,60,50,55,50,71,349,"Keen Eye, Tangled Feet, Big Pecks",3.07,66.1,Class 2,Class 3
37,18,1,Kanto,Pidgeot,Normal,DPS Ranged,No,"Male, Female",1.5 m (4′11″),39.5 kg (87.1 lbs),83,80,70,75,70,101,479,"Keen Eye, Tangled Feet, Big Pecks",4.11,87.1,Class 3,Class 3
38,18,1,Kanto,Pidgeot,Flying,DPS Ranged,No,"Male, Female",1.5 m (4′11″),39.5 kg (87.1 lbs),83,80,70,75,70,101,479,"Keen Eye, Tangled Feet, Big Pecks",4.11,87.1,Class 3,Class 3
39,18,6,Kalos,"Pidgeot
Mega Pidgeot",Normal,DPS Ranged,No,"Male, Female",1.5 m (4′11″),39.5 kg (87.1 lbs),83,80,135,80,80,121,579,"Keen Eye, Tangled Feet, Big Pecks",4.11,87.1,Class 3,Class 3
40,18,6,Kalos,"Pidgeot
Mega Pidgeot",Flying,DPS Ranged,No,"Male, Female",1.5 m (4′11″),39.5 kg (87.1 lbs),83,80,135,80,80,121,579,"Keen Eye, Tangled Feet, Big Pecks",4.11,87.1,Class 3,Class 3
41,19,1,Kanto,Rattata,Normal,"DPS Melee, Scout",No,"Male, Female",0.3 m (1′00″),3.5 kg (7.7 lbs),30,56,25,35,35,72,253,"Run Away, Guts, Hustle",1,7.7,Class 1,Class 1
42,19,7,Kanto,"Rattata
Alolan Rattata",Dark,DPS Melee,No,"Male, Female",0.3 m (1′00″),3.5 kg (7.7 lbs),30,56,25,35,35,72,253,"Run Away, Guts, Hustle",1,7.7,Class 1,Class 1
43,19,7,Kanto,"Rattata
Alolan Rattata",Normal,DPS Melee,No,"Male, Female",0.3 m (1′00″),3.5 kg (7.7 lbs),30,56,25,35,35,72,253,"Run Away, Guts, Hustle",1,7.7,Class 1,Class 1
44,20,1,Kanto,Raticate,Normal,DPS Melee,No,"Male, Female",0.7 m (2′04″),18.5 kg (40.8 lbs),55,81,50,60,70,97,413,"Run Away, Guts, Hustle",2.04,40.8,Class 2,Class 2
45,20,7,Alola,"Raticate
Alolan Raticate",Dark,"Tank, DPS Melee",No,"Male, Female",0.7 m (2′04″),18.5 kg (40.8 lbs),75,71,40,70,80,77,413,"Run Away, Guts, Hustle",2.04,40.8,Class 2,Class 2
46,20,7,Alola,"Raticate
Alolan Raticate",Normal,"Tank, DPS Melee",No,"Male, Female",0.7 m (2′04″),18.5 kg (40.8 lbs),75,71,40,70,80,77,413,"Run Away, Guts, Hustle",2.04,40.8,Class 2,Class 2
47,21,1,Kanto,Spearow,Normal,"Scout, DPS Ranged",No,"Male, Female",0.3 m (1′00″),2.0 kg (4.4 lbs),40,60,31,30,31,70,262,"Keen Eye, Sniper",1,4.4,Class 1,Class 1
48,21,1,Kanto,Spearow,Flying,"Scout, DPS Ranged",No,"Male, Female",0.3 m (1′00″),2.0 kg (4.4 lbs),40,60,31,30,31,70,262,"Keen Eye, Sniper",1,4.4,Class 1,Class 1
49,22,1,Kanto,Fearow,Normal,DPS Ranged,No,"Male, Female",1.2 m (3′11″),38.0 kg (83.8 lbs),65,90,61,65,61,100,442,"Keen Eye, Sniper",3.11,83.8,Class 3,Class 3
50,22,1,Kanto,Fearow,Flying,DPS Ranged,No,"Male, Female",1.2 m (3′11″),38.0 kg (83.8 lbs),65,90,61,65,61,100,442,"Keen Eye, Sniper",3.11,83.8,Class 3,Class 3
51,23,1,Kanto,Ekans,Poison,"Debuffer, Crowd Controller",No,"Male, Female",2.0 m (6′07″),6.9 kg (15.2 lbs),35,60,40,44,54,55,288,"Intimidate, Shed Skin, Unnerve",6.07,15.2,Class 1,Class 4
52,24,1,Kanto,Arbok,Poison,"Debuffer, Crowd Controller",No,"Male, Female",3.5 m (11′06″),65.0 kg (143.3 lbs),60,95,65,69,79,80,448,"Intimidate, Shed Skin, Unnerve",11.06,143.3,Class 3,Class 4
53,25,1,Kanto,Pikachu,Electric,"Support, Crowd Controller, DPS Ranged",No,"Male, Female",0.4 m (1′04″),6.0 kg (13.2 lbs),35,55,50,40,50,90,320,"Static, Lightning Rod",1.04,13.2,Class 1,Class 1
54,25,1,Kanto,"Pikachu
Partner Pikachu",Electric,"Support, Crowd Controller, DPS Ranged",No,"Male, Female",0.4 m (1′04″),6.0 kg (13.2 lbs),45,80,75,50,60,120,430,"Static, Lightning Rod",1.04,13.2,Class 1,Class 1
55,26,1,Kanto,Raichu,Electric,"DPS Ranged, Crowd Controller",No,"Male, Female",0.8 m (2′07″),30.0 kg (66.1 lbs),60,90,90,55,80,110,485,"Static, Lightning Rod",2.07,66.1,Class 2,Class 2
56,26,7,Alola,"Raichu
Alolan Raichu",Electric,"DPS Ranged, Mage",No,"Male, Female",0.8 m (2′07″),30.0 kg (66.1 lbs),60,85,95,50,85,110,485,"Static, Lightning Rod",2.07,66.1,Class 2,Class 2
57,26,7,Alola,"Raichu
Alolan Raichu",Psychic,"DPS Ranged, Mage",No,"Male, Female",0.8 m (2′07″),30.0 kg (66.1 lbs),60,85,95,50,85,110,485,"Static, Lightning Rod",2.07,66.1,Class 2,Class 2
58,27,1,Kanto,Sandshrew,Ground,Tank,No,"Male, Female",0.6 m (2′00″),12.0 kg (26.5 lbs),50,75,20,85,30,40,300,"Sand Veil, Sand Rush",2,26.5,Class 2,Class 1
59,27,7,Alola,"Sandshrew
Alolan Sandshrew",Ice,Tank,No,"Male, Female",0.6 m (2′00″),12.0 kg (26.5 lbs),50,75,10,90,35,40,300,"Sand Veil, Sand Rush",2,26.5,Class 2,Class 1
60,27,7,Alola,"Sandshrew
Alolan Sandshrew",Steel,Tank,No,"Male, Female",0.6 m (2′00″),12.0 kg (26.5 lbs),50,75,10,90,35,40,300,"Sand Veil, Sand Rush",2,26.5,Class 2,Class 1
61,28,1,Kanto,Sandslash,Ground,"Tank, DPS Melee",No,"Male, Female",1.0 m (3′03″),29.5 kg (65.0 lbs),75,100,45,110,55,65,450,"Sand Veil, Sand Rush",3.03,65,Class 2,Class 2
62,28,7,Alola,"Sandslash
Alolan Sandslash",Ice,"Tank, DPS Melee",No,"Male, Female",1.0 m (3′03″),29.5 kg (65.0 lbs),75,100,25,120,65,65,450,"Sand Veil, Sand Rush",3.03,65,Class 2,Class 2
63,28,7,Alola,"Sandslash
Alolan Sandslash",Steel,"Tank, DPS Melee",No,"Male, Female",1.0 m (3′03″),29.5 kg (65.0 lbs),75,100,25,120,65,65,450,"Sand Veil, Sand Rush",3.03,65,Class 2,Class 2
64,29,1,Kanto,Nidoran,Poison,DPS Melee,No,Female,0.4 m (1′04″),7.0 kg (15.4 lbs),55,47,40,52,40,41,275,"Poison Point, Rivalry, Hustle",1.04,15.4,Class 1,Class 1
65,30,1,Kanto,Nidorina,Poison,"DPS Melee, Tank",No,Female,0.8 m (2′07″),20.0 kg (44.1 lbs),70,62,55,67,55,56,365,"Poison Point, Rivalry, Hustle",2.07,44.1,Class 2,Class 2
66,31,1,Kanto,Nidoqueen,Poison,"Tank, Debuffer",No,Female,1.3 m (4′03″),60.0 kg (132.3 lbs),90,92,75,87,85,76,505,"Poison Point, Rivalry, Sheer Force",4.03,132.3,Class 3,Class 3
